Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Edge 17,,2019-01-31 11:37:41,2019-01-31 11:38:59,1m - 17.503s,PASSED
,,,,,,
Test Cases/TT001-Launch Application,Edge 17,,2019-01-31 11:37:42,2019-01-31 11:38:28,45.729s,PASSED
Start listener action : sampleBeforeTestCase,Edge 17,,2019-01-31 11:37:42,2019-01-31 11:37:42,0.033s,PASSED
"openBrowser("""")",Edge 17,,2019-01-31 11:37:43,2019-01-31 11:38:08,25.525s,PASSED
"navigateToUrl(findTestData(""URLs"").getValue(1, 1))",Edge 17,,2019-01-31 11:38:08,2019-01-31 11:38:16,7.501s,PASSED
delay(10),Edge 17,For IE Load,2019-01-31 11:38:16,2019-01-31 11:38:26,10.032s,PASSED
maximizeWindow(),Edge 17,,2019-01-31 11:38:26,2019-01-31 11:38:26,0.002s,NOT_RUN
"takeScreenshot(""D://Katalon_Studio_Windows_64-5.10.1//projects//IR Project//ErrorScreenshots"")",Edge 17,,2019-01-31 11:38:26,2019-01-31 11:38:26,0.003s,NOT_RUN
Start listener action : sampleAfterTestCase,Edge 17,,2019-01-31 11:38:26,2019-01-31 11:38:26,0.003s,PASSED
